67+81->7+1=8,6+8=4c1->148
58+84->8+4=2c1,5+8+1=4c1->142
31+35->1+5=6,3+3=6->66
14+92->4+2=6,1+9=0c1->106
54+9->4+9=3c1,5+0+1=6c0->63
47+13->7+3=0c1,4+1+1=6c0->60
70+95->0+5=5,7+9=6c1->165
95+26->5+6=1c1,9+2+1=2c1->121
99+9->9+9=8c1,9+0+1=0c1->108
59+23->9+3=2c1,5+2+1=8c0->82
73+74->3+4=7,7+7=4c1->147
90+53->0+3=3,9+5=4c1->143
4+96->4+6=0c1,0+9+1=0c1->100
50+51->0+1=1,5+5=0c1->101
83+82->3+2=5,8+8=6c1->165
37+98->7+8=5c1,3+9+1=3c1->135
36+27->6+7=3c1,3+2+1=6c0->63
51+40->1+0=1,5+4=9->91
24+28->4+8=2c1,2+2+1=5c0->52
74+68->4+8=2c1,7+6+1=4c1->142
97+35->7+5=2c1,9+3+1=3c1->132
26+1->6+1=7,2+0=2->27
84+10->4+0=4,8+1=9->94
72+29->2+9=1c1,7+2+1=0c1->101
80+32->0+2=2,8+3=1c1->112
88+55->8+5=3c1,8+5+1=4c1->143
35+79->5+9=4c1,3+7+1=1c1->114
62+6->2+6=8,6+0=6->68
9+25->9+5=4c1,0+2+1=3c0->34
18+20->8+0=8,1+2=3->38
62+56->2+6=8,6+5=1c1->118
73+69->3+9=2c1,7+6+1=4c1->142
12+84->2+4=6,1+8=9->96
11+25->1+5=6,1+2=3->36
9+13->9+3=2c1,0+1+1=2c0->22
43+95->3+5=8,4+9=3c1->138
29+7->9+7=6c1,2+0+1=3c0->36
77+20->7+0=7,7+2=9->97
20+27->0+7=7,2+2=4->47
60+32->0+2=2,6+3=9->92
39+82->9+2=1c1,3+8+1=2c1->121
19+74->9+4=3c1,1+7+1=9c0->93
63+27->3+7=0c1,6+2+1=9c0->90
14+99->4+9=3c1,1+9+1=1c1->113
54+26->4+6=0c1,5+2+1=8c0->80
73+2->3+2=5,7+0=7->75
25+72->5+2=7,2+7=9->97
52+96->2+6=8,5+9=4c1->148
28+99->8+9=7c1,2+9+1=2c1->127
77+58->7+8=5c1,7+5+1=3c1->135
82+7->2+7=9,8+0=8->89
27+32->7+2=9,2+3=5->59
81+83->1+3=4,8+8=6c1->164
98+61->8+1=9,9+6=5c1->159
33+39->3+9=2c1,3+3+1=7c0->72
47+99->7+9=6c1,4+9+1=4c1->146
50+56->0+6=6,5+5=0c1->106
93+4->3+4=7,9+0=9->97
86+95->6+5=1c1,8+9+1=8c1->181
54+3->4+3=7,5+0=5->57
94+59->4+9=3c1,9+5+1=5c1->153
49+9->9+9=8c1,4+0+1=5c0->58
30+24->0+4=4,3+2=5->54
62+16->2+6=8,6+1=7->78
2+92->2+2=4,0+9=9->94
81+22->1+2=3,8+2=0c1->103
46+46->6+6=2c1,4+4+1=9c0->92
54+27->4+7=1c1,5+2+1=8c0->81
39+4->9+4=3c1,3+0+1=4c0->43
45+59->5+9=4c1,4+5+1=0c1->104
51+79->1+9=0c1,5+7+1=3c1->130
1+9->1+9=0c1->10
54+31->4+1=5,5+3=8->85
39+27->9+7=6c1,3+2+1=6c0->66
86+46->6+6=2c1,8+4+1=3c1->132
6+77->6+7=3c1,0+7+1=8c0->83
5+6->5+6=1c1->11
65+37->5+7=2c1,6+3+1=0c1->102
14+47->4+7=1c1,1+4+1=6c0->61
69+56->9+6=5c1,6+5+1=2c1->125
40+90->0+0=0,4+9=3c1->130
46+19->6+9=5c1,4+1+1=6c0->65
84+98->4+8=2c1,8+9+1=8c1->182
72+6->2+6=8,7+0=7->78
62+67->2+7=9,6+6=2c1->129
42+81->2+1=3,4+8=2c1->123
97+96->7+6=3c1,9+9+1=9c1->193
9+62->9+2=1c1,0+6+1=7c0->71
96+49->6+9=5c1,9+4+1=4c1->145
45+48->5+8=3c1,4+4+1=9c0->93
28+14->8+4=2c1,2+1+1=4c0->42
28+37->8+7=5c1,2+3+1=6c0->65
89+87->9+7=6c1,8+8+1=7c1->176
86+51->6+1=7,8+5=3c1->137
50+80->0+0=0,5+8=3c1->130
4+76->4+6=0c1,0+7+1=8c0->80
13+73->3+3=6,1+7=8->86
34+27->4+7=1c1,3+2+1=6c0->61
2+9->2+9=1c1->11
59+28->9+8=7c1,5+2+1=8c0->87
49+74->9+4=3c1,4+7+1=2c1->123
75+18->5+8=3c1,7+1+1=9c0->93
78+49->8+9=7c1,7+4+1=2c1->127
97+51->7+1=8,9+5=4c1->148
23+64->3+4=7,2+6=8->87
5+96->5+6=1c1,0+9+1=0c1->101
27+58->7+8=5c1,2+5+1=8c0->85
62+74->2+4=6,6+7=3c1->136
56+73->6+3=9,5+7=2c1->129
5+35->5+5=0c1,0+3+1=4c0->40
5+66->5+6=1c1,0+6+1=7c0->71
60+18->0+8=8,6+1=7->78
58+8->8+8=6c1,5+0+1=6c0->66
84+48->4+8=2c1,8+4+1=3c1->132
15+11->5+1=6,1+1=2->26
33+85->3+5=8,3+8=1c1->118
89+26->9+6=5c1,8+2+1=1c1->115
23+55->3+5=8,2+5=7->78
9+31->9+1=0c1,0+3+1=4c0->40
88+58->8+8=6c1,8+5+1=4c1->146
88+40->8+0=8,8+4=2c1->128
65+95->5+5=0c1,6+9+1=6c1->160
54+79->4+9=3c1,5+7+1=3c1->133
15+51->5+1=6,1+5=6->66
18+95->8+5=3c1,1+9+1=1c1->113
66+59->6+9=5c1,6+5+1=2c1->125
51+67->1+7=8,5+6=1c1->118
3+97->3+7=0c1,0+9+1=0c1->100
18+42->8+2=0c1,1+4+1=6c0->60
82+8->2+8=0c1,8+0+1=9c0->90
68+82->8+2=0c1,6+8+1=5c1->150
84+76->4+6=0c1,8+7+1=6c1->160
44+26->4+6=0c1,4+2+1=7c0->70
82+66->2+6=8,8+6=4c1->148
97+85->7+5=2c1,9+8+1=8c1->182
21+26->1+6=7,2+2=4->47
50+73->0+3=3,5+7=2c1->123
18+7->8+7=5c1,1+0+1=2c0->25
92+39->2+9=1c1,9+3+1=3c1->131
88+88->8+8=6c1,8+8+1=7c1->176
67+75->7+5=2c1,6+7+1=4c1->142
2+86->2+6=8,0+8=8->88
49+85->9+5=4c1,4+8+1=3c1->134
90+37->0+7=7,9+3=2c1->127
29+82->9+2=1c1,2+8+1=1c1->111
29+85->9+5=4c1,2+8+1=1c1->114
72+9->2+9=1c1,7+0+1=8c0->81
32+61->2+1=3,3+6=9->93
56+91->6+1=7,5+9=4c1->147
59+5->9+5=4c1,5+0+1=6c0->64
86+25->6+5=1c1,8+2+1=1c1->111
34+5->4+5=9,3+0=3->39
2+34->2+4=6,0+3=3->36
7+44->7+4=1c1,0+4+1=5c0->51
95+54->5+4=9,9+5=4c1->149
38+67->8+7=5c1,3+6+1=0c1->105
68+30->8+0=8,6+3=9->98
10+48->0+8=8,1+4=5->58
46+3->6+3=9,4+0=4->49
78+25->8+5=3c1,7+2+1=0c1->103
74+59->4+9=3c1,7+5+1=3c1->133
1+64->1+4=5,0+6=6->65
36+24->6+4=0c1,3+2+1=6c0->60
81+67->1+7=8,8+6=4c1->148
24+79->4+9=3c1,2+7+1=0c1->103
22+49->2+9=1c1,2+4+1=7c0->71
42+52->2+2=4,4+5=9->94
31+3->1+3=4,3+0=3->34
94+43->4+3=7,9+4=3c1->137
76+87->6+7=3c1,7+8+1=6c1->163
41+15->1+5=6,4+1=5->56
20+21->0+1=1,2+2=4->41
17+68->7+8=5c1,1+6+1=8c0->85
97+57->7+7=4c1,9+5+1=5c1->154
80+18->0+8=8,8+1=9->98
52+7->2+7=9,5+0=5->59
39+18->9+8=7c1,3+1+1=5c0->57
32+90->2+0=2,3+9=2c1->122
32+59->2+9=1c1,3+5+1=9c0->91
16+70->6+0=6,1+7=8->86
81+16->1+6=7,8+1=9->97
9+16->9+6=5c1,0+1+1=2c0->25
38+62->8+2=0c1,3+6+1=0c1->100
41+61->1+1=2,4+6=0c1->102
67+4->7+4=1c1,6+0+1=7c0->71
19+62->9+2=1c1,1+6+1=8c0->81
67+32->7+2=9,6+3=9->99
25+56->5+6=1c1,2+5+1=8c0->81
73+31->3+1=4,7+3=0c1->104
39+80->9+0=9,3+8=1c1->119
99+68->9+8=7c1,9+6+1=6c1->167
88+44->8+4=2c1,8+4+1=3c1->132
13+3->3+3=6,1+0=1->16
47+41->7+1=8,4+4=8->88
24+90->4+0=4,2+9=1c1->114
68+31->8+1=9,6+3=9->99
96+92->6+2=8,9+9=8c1->188
36+31->6+1=7,3+3=6->67
17+44->7+4=1c1,1+4+1=6c0->61
5+95->5+5=0c1,0+9+1=0c1->100
94+8->4+8=2c1,9+0+1=0c1->102
22+84->2+4=6,2+8=0c1->106
41+94->1+4=5,4+9=3c1->135
40+33->0+3=3,4+3=7->73
98+60->8+0=8,9+6=5c1->158
91+20->1+0=1,9+2=1c1->111
23+24->3+4=7,2+2=4->47
31+33->1+3=4,3+3=6->64
54+13->4+3=7,5+1=6->67
82+83->2+3=5,8+8=6c1->165
96+91->6+1=7,9+9=8c1->187
8+37->8+7=5c1,0+3+1=4c0->45
30+39->0+9=9,3+3=6->69
29+26->9+6=5c1,2+2+1=5c0->55
96+12->6+2=8,9+1=0c1->108
61+40->1+0=1,6+4=0c1->101
92+31->2+1=3,9+3=2c1->123
62+31->2+1=3,6+3=9->93
53+72->3+2=5,5+7=2c1->125
37+22->7+2=9,3+2=5->59
46+78->6+8=4c1,4+7+1=2c1->124
95+76->5+6=1c1,9+7+1=7c1->171
48+26->8+6=4c1,4+2+1=7c0->74
11+79->1+9=0c1,1+7+1=9c0->90
59+53->9+3=2c1,5+5+1=1c1->112
17+6->7+6=3c1,1+0+1=2c0->23
30+56->0+6=6,3+5=8->86
9+54->9+4=3c1,0+5+1=6c0->63
6+98->6+8=4c1,0+9+1=0c1->104
33+32->3+2=5,3+3=6->65
62+24->2+4=6,6+2=8->86
36+33->6+3=9,3+3=6->69
67+34->7+4=1c1,6+3+1=0c1->101
21+21->1+1=2,2+2=4->42
98+10->8+0=8,9+1=0c1->108
92+64->2+4=6,9+6=5c1->156
8+38->8+8=6c1,0+3+1=4c0->46
3+1->3+1=4->4
12+64->2+4=6,1+6=7->76
41+96->1+6=7,4+9=3c1->137
27+81->7+1=8,2+8=0c1->108
84+83->4+3=7,8+8=6c1->167
72+15->2+5=7,7+1=8->87
96+46->6+6=2c1,9+4+1=4c1->142
55+6->5+6=1c1,5+0+1=6c0->61
36+37->6+7=3c1,3+3+1=7c0->73
77+65->7+5=2c1,7+6+1=4c1->142
57+30->7+0=7,5+3=8->87
42+88->2+8=0c1,4+8+1=3c1->130
92+16->2+6=8,9+1=0c1->108
11+95->1+5=6,1+9=0c1->106
48+21->8+1=9,4+2=6->69
11+68->1+8=9,1+6=7->79
45+5->5+5=0c1,4+0+1=5c0->50
87+70->7+0=7,8+7=5c1->157
21+42->1+2=3,2+4=6->63
75+77->5+7=2c1,7+7+1=5c1->152
17+9->7+9=6c1,1+0+1=2c0->26
16+15->6+5=1c1,1+1+1=3c0->31
67+39->7+9=6c1,6+3+1=0c1->106
4+10->4+0=4,0+1=1->14
24+83->4+3=7,2+8=0c1->107
45+80->5+0=5,4+8=2c1->125
84+12->4+2=6,8+1=9->96
1+93->1+3=4,0+9=9->94
5+11->5+1=6,0+1=1->16
49+71->9+1=0c1,4+7+1=2c1->120
8+16->8+6=4c1,0+1+1=2c0->24
31+32->1+2=3,3+3=6->63
90+18->0+8=8,9+1=0c1->108
74+90->4+0=4,7+9=6c1->164
39+83->9+3=2c1,3+8+1=2c1->122
80+47->0+7=7,8+4=2c1->127
89+53->9+3=2c1,8+5+1=4c1->142
15+9->5+9=4c1,1+0+1=2c0->24
86+47->6+7=3c1,8+4+1=3c1->133
50+21->0+1=1,5+2=7->71
95+3->5+3=8,9+0=9->98
67+93->7+3=0c1,6+9+1=6c1->160
63+60->3+0=3,6+6=2c1->123
90+61->0+1=1,9+6=5c1->151
92+99->2+9=1c1,9+9+1=9c1->191
92+73->2+3=5,9+7=6c1->165
42+5->2+5=7,4+0=4->47
62+68->2+8=0c1,6+6+1=3c1->130
56+51->6+1=7,5+5=0c1->107
96+65->6+5=1c1,9+6+1=6c1->161
6+43->6+3=9,0+4=4->49
93+31->3+1=4,9+3=2c1->124
4+18->4+8=2c1,0+1+1=2c0->22
81+88->1+8=9,8+8=6c1->169
46+90->6+0=6,4+9=3c1->136
88+45->8+5=3c1,8+4+1=3c1->133
36+61->6+1=7,3+6=9->97
62+35->2+5=7,6+3=9->97
61+72->1+2=3,6+7=3c1->133
2+32->2+2=4,0+3=3->34
3+70->3+0=3,0+7=7->73
82+46->2+6=8,8+4=2c1->128
82+36->2+6=8,8+3=1c1->118
60+73->0+3=3,6+7=3c1->133
33+64->3+4=7,3+6=9->97
62+22->2+2=4,6+2=8->84
13+70->3+0=3,1+7=8->83
91+87->1+7=8,9+8=7c1->178
76+11->6+1=7,7+1=8->87
28+5->8+5=3c1,2+0+1=3c0->33
39+10->9+0=9,3+1=4->49
26+9->6+9=5c1,2+0+1=3c0->35
93+93->3+3=6,9+9=8c1->186
95+49->5+9=4c1,9+4+1=4c1->144
2+82->2+2=4,0+8=8->84
20+35->0+5=5,2+3=5->55
9+81->9+1=0c1,0+8+1=9c0->90
65+45->5+5=0c1,6+4+1=1c1->110
13+66->3+6=9,1+6=7->79
75+7->5+7=2c1,7+0+1=8c0->82
8+88->8+8=6c1,0+8+1=9c0->96
19+40->9+0=9,1+4=5->59
8+10->8+0=8,0+1=1->18
80+48->0+8=8,8+4=2c1->128
5+25->5+5=0c1,0+2+1=3c0->30
76+78->6+8=4c1,7+7+1=5c1->154
23+71->3+1=4,2+7=9->94
31+43->1+3=4,3+4=7->74
51+59->1+9=0c1,5+5+1=1c1->110
68+7->8+7=5c1,6+0+1=7c0->75
43+7->3+7=0c1,4+0+1=5c0->50
32+47->2+7=9,3+4=7->79
22+78->2+8=0c1,2+7+1=0c1->100
60+87->0+7=7,6+8=4c1->147
79+29->9+9=8c1,7+2+1=0c1->108
94+24->4+4=8,9+2=1c1->118
51+14->1+4=5,5+1=6->65
60+71->0+1=1,6+7=3c1->131
29+98->9+8=7c1,2+9+1=2c1->127
21+4->1+4=5,2+0=2->25
83+69->3+9=2c1,8+6+1=5c1->152
99+29->9+9=8c1,9+2+1=2c1->128
13+13->3+3=6,1+1=2->26
42+13->2+3=5,4+1=5->55
45+89->5+9=4c1,4+8+1=3c1->134
22+12->2+2=4,2+1=3->34
11+3->1+3=4,1+0=1->14
99+27->9+7=6c1,9+2+1=2c1->126
29+22->9+2=1c1,2+2+1=5c0->51
19+99->9+9=8c1,1+9+1=1c1->118
97+81->7+1=8,9+8=7c1->178
66+90->6+0=6,6+9=5c1->156
25+51->5+1=6,2+5=7->76
94+95->4+5=9,9+9=8c1->189
64+42->4+2=6,6+4=0c1->106
94+74->4+4=8,9+7=6c1->168
95+65->5+5=0c1,9+6+1=6c1->160
19+57->9+7=6c1,1+5+1=7c0->76
94+21->4+1=5,9+2=1c1->115
70+88->0+8=8,7+8=5c1->158
93+62->3+2=5,9+6=5c1->155
17+16->7+6=3c1,1+1+1=3c0->33
32+89->2+9=1c1,3+8+1=2c1->121
9+94->9+4=3c1,0+9+1=0c1->103
69+65->9+5=4c1,6+6+1=3c1->134
66+26->6+6=2c1,6+2+1=9c0->92
25+61->5+1=6,2+6=8->86
91+27->1+7=8,9+2=1c1->118
58+55->8+5=3c1,5+5+1=1c1->113
95+66->5+6=1c1,9+6+1=6c1->161
39+11->9+1=0c1,3+1+1=5c0->50
78+28->8+8=6c1,7+2+1=0c1->106
92+52->2+2=4,9+5=4c1->144
64+83->4+3=7,6+8=4c1->147
20+99->0+9=9,2+9=1c1->119
55+75->5+5=0c1,5+7+1=3c1->130
20+28->0+8=8,2+2=4->48
59+42->9+2=1c1,5+4+1=0c1->101
31+39->1+9=0c1,3+3+1=7c0->70
55+47->5+7=2c1,5+4+1=0c1->102
41+85->1+5=6,4+8=2c1->126
60+56->0+6=6,6+5=1c1->116
96+82->6+2=8,9+8=7c1->178
46+43->6+3=9,4+4=8->89
49+8->9+8=7c1,4+0+1=5c0->57
58+48->8+8=6c1,5+4+1=0c1->106
48+1->8+1=9,4+0=4->49
61+83->1+3=4,6+8=4c1->144
72+30->2+0=2,7+3=0c1->102
35+35->5+5=0c1,3+3+1=7c0->70
47+10->7+0=7,4+1=5->57
72+3->2+3=5,7+0=7->75
94+12->4+2=6,9+1=0c1->106
38+29->8+9=7c1,3+2+1=6c0->67
46+30->6+0=6,4+3=7->76
71+51->1+1=2,7+5=2c1->122
63+75->3+5=8,6+7=3c1->138
92+11->2+1=3,9+1=0c1->103
14+78->4+8=2c1,1+7+1=9c0->92
86+64->6+4=0c1,8+6+1=5c1->150
17+12->7+2=9,1+1=2->29
57+54->7+4=1c1,5+5+1=1c1->111
73+57->3+7=0c1,7+5+1=3c1->130
56+57->6+7=3c1,5+5+1=1c1->113
23+91->3+1=4,2+9=1c1->114
74+86->4+6=0c1,7+8+1=6c1->160
62+88->2+8=0c1,6+8+1=5c1->150
21+39->1+9=0c1,2+3+1=6c0->60
86+18->6+8=4c1,8+1+1=0c1->104
24+8->4+8=2c1,2+0+1=3c0->32
39+38->9+8=7c1,3+3+1=7c0->77
19+83->9+3=2c1,1+8+1=0c1->102
42+73->2+3=5,4+7=1c1->115
73+21->3+1=4,7+2=9->94
22+27->2+7=9,2+2=4->49
47+8->7+8=5c1,4+0+1=5c0->55
20+75->0+5=5,2+7=9->95
36+29->6+9=5c1,3+2+1=6c0->65
30+18->0+8=8,3+1=4->48
93+55->3+5=8,9+5=4c1->148
38+4->8+4=2c1,3+0+1=4c0->42
27+53->7+3=0c1,2+5+1=8c0->80
71+4->1+4=5,7+0=7->75
66+68->6+8=4c1,6+6+1=3c1->134
35+82->5+2=7,3+8=1c1->117
51+16->1+6=7,5+1=6->67
68+17->8+7=5c1,6+1+1=8c0->85
5+67->5+7=2c1,0+6+1=7c0->72
81+77->1+7=8,8+7=5c1->158
30+86->0+6=6,3+8=1c1->116
14+33->4+3=7,1+3=4->47
85+37->5+7=2c1,8+3+1=2c1->122
25+9->5+9=4c1,2+0+1=3c0->34
53+50->3+0=3,5+5=0c1->103
94+49->4+9=3c1,9+4+1=4c1->143
4+21->4+1=5,0+2=2->25
65+59->5+9=4c1,6+5+1=2c1->124
29+60->9+0=9,2+6=8->89
81+20->1+0=1,8+2=0c1->101
62+40->2+0=2,6+4=0c1->102
65+68->5+8=3c1,6+6+1=3c1->133
33+77->3+7=0c1,3+7+1=1c1->110
59+72->9+2=1c1,5+7+1=3c1->131
62+75->2+5=7,6+7=3c1->137
52+92->2+2=4,5+9=4c1->144
62+2->2+2=4,6+0=6->64
26+18->6+8=4c1,2+1+1=4c0->44
45+15->5+5=0c1,4+1+1=6c0->60
22+9->2+9=1c1,2+0+1=3c0->31
69+8->9+8=7c1,6+0+1=7c0->77
43+63->3+3=6,4+6=0c1->106
50+15->0+5=5,5+1=6->65
77+3->7+3=0c1,7+0+1=8c0->80
11+34->1+4=5,1+3=4->45
75+49->5+9=4c1,7+4+1=2c1->124
2+30->2+0=2,0+3=3->32
1+59->1+9=0c1,0+5+1=6c0->60
27+64->7+4=1c1,2+6+1=9c0->91
47+7->7+7=4c1,4+0+1=5c0->54
50+29->0+9=9,5+2=7->79
52+84->2+4=6,5+8=3c1->136
55+33->5+3=8,5+3=8->88
64+46->4+6=0c1,6+4+1=1c1->110
79+40->9+0=9,7+4=1c1->119
16+19->6+9=5c1,1+1+1=3c0->35
25+3->5+3=8,2+0=2->28
81+96->1+6=7,8+9=7c1->177
38+94->8+4=2c1,3+9+1=3c1->132
13+14->3+4=7,1+1=2->27
14+21->4+1=5,1+2=3->35
57+9->7+9=6c1,5+0+1=6c0->66
14+52->4+2=6,1+5=6->66
52+65->2+5=7,5+6=1c1->117
94+99->4+9=3c1,9+9+1=9c1->193
80+91->0+1=1,8+9=7c1->171
90+96->0+6=6,9+9=8c1->186
11+16->1+6=7,1+1=2->27
83+45->3+5=8,8+4=2c1->128
29+45->9+5=4c1,2+4+1=7c0->74
30+81->0+1=1,3+8=1c1->111
20+81->0+1=1,2+8=0c1->101
88+56->8+6=4c1,8+5+1=4c1->144
76+4->6+4=0c1,7+0+1=8c0->80
54+92->4+2=6,5+9=4c1->146
59+20->9+0=9,5+2=7->79
54+20->4+0=4,5+2=7->74
29+17->9+7=6c1,2+1+1=4c0->46
31+42->1+2=3,3+4=7->73
89+67->9+7=6c1,8+6+1=5c1->156
52+25->2+5=7,5+2=7->77
43+97->3+7=0c1,4+9+1=4c1->140
78+89->8+9=7c1,7+8+1=6c1->167
50+88->0+8=8,5+8=3c1->138
32+24->2+4=6,3+2=5->56
65+20->5+0=5,6+2=8->85
21+40->1+0=1,2+4=6->61
15+76->5+6=1c1,1+7+1=9c0->91
16+76->6+6=2c1,1+7+1=9c0->92
85+17->5+7=2c1,8+1+1=0c1->102
62+5->2+5=7,6+0=6->67
95+41->5+1=6,9+4=3c1->136
57+57->7+7=4c1,5+5+1=1c1->114
7+62->7+2=9,0+6=6->69
7+81->7+1=8,0+8=8->88
77+99->7+9=6c1,7+9+1=7c1->176
24+3->4+3=7,2+0=2->27
71+34->1+4=5,7+3=0c1->105
64+16->4+6=0c1,6+1+1=8c0->80
25+73->5+3=8,2+7=9->98
95+53->5+3=8,9+5=4c1->148
67+3->7+3=0c1,6+0+1=7c0->70
95+19->5+9=4c1,9+1+1=1c1->114
79+24->9+4=3c1,7+2+1=0c1->103
30+98->0+8=8,3+9=2c1->128
53+56->3+6=9,5+5=0c1->109
93+34->3+4=7,9+3=2c1->127
73+98->3+8=1c1,7+9+1=7c1->171
34+29->4+9=3c1,3+2+1=6c0->63
7+23->7+3=0c1,0+2+1=3c0->30
5+58->5+8=3c1,0+5+1=6c0->63
77+16->7+6=3c1,7+1+1=9c0->93
23+19->3+9=2c1,2+1+1=4c0->42
41+4->1+4=5,4+0=4->45
61+43->1+3=4,6+4=0c1->104
44+63->4+3=7,4+6=0c1->107
37+80->7+0=7,3+8=1c1->117
39+76->9+6=5c1,3+7+1=1c1->115
71+65->1+5=6,7+6=3c1->136
26+27->6+7=3c1,2+2+1=5c0->53
81+86->1+6=7,8+8=6c1->167
33+83->3+3=6,3+8=1c1->116
46+44->6+4=0c1,4+4+1=9c0->90
52+94->2+4=6,5+9=4c1->146
72+95->2+5=7,7+9=6c1->167
73+33->3+3=6,7+3=0c1->106
35+1->5+1=6,3+0=3->36
61+12->1+2=3,6+1=7->73
93+26->3+6=9,9+2=1c1->119
34+56->4+6=0c1,3+5+1=9c0->90
86+40->6+0=6,8+4=2c1->126
42+8->2+8=0c1,4+0+1=5c0->50
88+23->8+3=1c1,8+2+1=1c1->111
67+76->7+6=3c1,6+7+1=4c1->143
61+53->1+3=4,6+5=1c1->114
72+71->2+1=3,7+7=4c1->143
97+23->7+3=0c1,9+2+1=2c1->120
36+54->6+4=0c1,3+5+1=9c0->90
22+58->2+8=0c1,2+5+1=8c0->80
98+75->8+5=3c1,9+7+1=7c1->173
77+11->7+1=8,7+1=8->88
99+61->9+1=0c1,9+6+1=6c1->160
84+31->4+1=5,8+3=1c1->115
35+87->5+7=2c1,3+8+1=2c1->122
64+70->4+0=4,6+7=3c1->134
87+61->7+1=8,8+6=4c1->148
35+86->5+6=1c1,3+8+1=2c1->121
61+42->1+2=3,6+4=0c1->103
26+88->6+8=4c1,2+8+1=1c1->114
22+48->2+8=0c1,2+4+1=7c0->70
16+39->6+9=5c1,1+3+1=5c0->55
83+11->3+1=4,8+1=9->94
58+91->8+1=9,5+9=4c1->149
19+90->9+0=9,1+9=0c1->109
34+66->4+6=0c1,3+6+1=0c1->100
6+5->6+5=1c1->11
13+65->3+5=8,1+6=7->78
47+94->7+4=1c1,4+9+1=4c1->141
71+73->1+3=4,7+7=4c1->144
18+58->8+8=6c1,1+5+1=7c0->76
