53+11->3+1=4,5+1=6->64
63+58->3+8=1c1,6+5+1=2c1->121
9+42->9+2=1c1,0+4+1=5c0->51
11+85->1+5=6,1+8=9->96
7+20->7+0=7,0+2=2->27
21+14->1+4=5,2+1=3->35
49+27->9+7=6c1,4+2+1=7c0->76
81+98->1+8=9,8+9=7c1->179
55+1->5+1=6,5+0=5->56
5+17->5+7=2c1,0+1+1=2c0->22
39+36->9+6=5c1,3+3+1=7c0->75
73+29->3+9=2c1,7+2+1=0c1->102
79+67->9+7=6c1,7+6+1=4c1->146
61+81->1+1=2,6+8=4c1->142
43+39->3+9=2c1,4+3+1=8c0->82
17+11->7+1=8,1+1=2->28
92+97->2+7=9,9+9=8c1->189
56+20->6+0=6,5+2=7->76
14+49->4+9=3c1,1+4+1=6c0->63
70+80->0+0=0,7+8=5c1->150
89+10->9+0=9,8+1=9->99
14+12->4+2=6,1+1=2->26
92+91->2+1=3,9+9=8c1->183
70+44->0+4=4,7+4=1c1->114
48+45->8+5=3c1,4+4+1=9c0->93
83+2->3+2=5,8+0=8->85
52+49->2+9=1c1,5+4+1=0c1->101
77+78->7+8=5c1,7+7+1=5c1->155
40+2->0+2=2,4+0=4->42
66+71->6+1=7,6+7=3c1->137
32+58->2+8=0c1,3+5+1=9c0->90
52+40->2+0=2,5+4=9->92
51+77->1+7=8,5+7=2c1->128
88+68->8+8=6c1,8+6+1=5c1->156
94+20->4+0=4,9+2=1c1->114
73+71->3+1=4,7+7=4c1->144
43+83->3+3=6,4+8=2c1->126
3+73->3+3=6,0+7=7->76
54+30->4+0=4,5+3=8->84
33+70->3+0=3,3+7=0c1->103
92+77->2+7=9,9+7=6c1->169
89+76->9+6=5c1,8+7+1=6c1->165
90+1->0+1=1,9+0=9->91
5+99->5+9=4c1,0+9+1=0c1->104
1+34->1+4=5,0+3=3->35
16+38->6+8=4c1,1+3+1=5c0->54
8+1->8+1=9->9
69+4->9+4=3c1,6+0+1=7c0->73
64+81->4+1=5,6+8=4c1->145
29+23->9+3=2c1,2+2+1=5c0->52
70+66->0+6=6,7+6=3c1->136
42+49->2+9=1c1,4+4+1=9c0->91
58+54->8+4=2c1,5+5+1=1c1->112
18+29->8+9=7c1,1+2+1=4c0->47
84+16->4+6=0c1,8+1+1=0c1->100
92+8->2+8=0c1,9+0+1=0c1->100
7+4->7+4=1c1->11
81+55->1+5=6,8+5=3c1->136
61+91->1+1=2,6+9=5c1->152
43+55->3+5=8,4+5=9->98
30+59->0+9=9,3+5=8->89
44+19->4+9=3c1,4+1+1=6c0->63
78+93->8+3=1c1,7+9+1=7c1->171
54+17->4+7=1c1,5+1+1=7c0->71
74+71->4+1=5,7+7=4c1->145
4+94->4+4=8,0+9=9->98
68+48->8+8=6c1,6+4+1=1c1->116
58+58->8+8=6c1,5+5+1=1c1->116
2+50->2+0=2,0+5=5->52
42+48->2+8=0c1,4+4+1=9c0->90
18+46->8+6=4c1,1+4+1=6c0->64
96+92->6+2=8,9+9=8c1->188
11+5->1+5=6,1+0=1->16
46+29->6+9=5c1,4+2+1=7c0->75
23+63->3+3=6,2+6=8->86
24+53->4+3=7,2+5=7->77
72+1->2+1=3,7+0=7->73
56+2->6+2=8,5+0=5->58
20+71->0+1=1,2+7=9->91
3+46->3+6=9,0+4=4->49
21+74->1+4=5,2+7=9->95
64+27->4+7=1c1,6+2+1=9c0->91
55+2->5+2=7,5+0=5->57
57+58->7+8=5c1,5+5+1=1c1->115
83+13->3+3=6,8+1=9->96
32+20->2+0=2,3+2=5->52
21+88->1+8=9,2+8=0c1->109
59+1->9+1=0c1,5+0+1=6c0->60
68+26->8+6=4c1,6+2+1=9c0->94
96+67->6+7=3c1,9+6+1=6c1->163
76+25->6+5=1c1,7+2+1=0c1->101
32+2->2+2=4,3+0=3->34
76+74->6+4=0c1,7+7+1=5c1->150
96+97->6+7=3c1,9+9+1=9c1->193
71+31->1+1=2,7+3=0c1->102
12+87->2+7=9,1+8=9->99
33+55->3+5=8,3+5=8->88
97+58->7+8=5c1,9+5+1=5c1->155
90+94->0+4=4,9+9=8c1->184
54+15->4+5=9,5+1=6->69
84+12->4+2=6,8+1=9->96
6+88->6+8=4c1,0+8+1=9c0->94
29+33->9+3=2c1,2+3+1=6c0->62
78+73->8+3=1c1,7+7+1=5c1->151
46+59->6+9=5c1,4+5+1=0c1->105
99+55->9+5=4c1,9+5+1=5c1->154
61+41->1+1=2,6+4=0c1->102
55+73->5+3=8,5+7=2c1->128
43+42->3+2=5,4+4=8->85
69+28->9+8=7c1,6+2+1=9c0->97
55+79->5+9=4c1,5+7+1=3c1->134
3+96->3+6=9,0+9=9->99
93+91->3+1=4,9+9=8c1->184
65+43->5+3=8,6+4=0c1->108
9+50->9+0=9,0+5=5->59
14+59->4+9=3c1,1+5+1=7c0->73
63+14->3+4=7,6+1=7->77
16+33->6+3=9,1+3=4->49
72+9->2+9=1c1,7+0+1=8c0->81
63+21->3+1=4,6+2=8->84
55+60->5+0=5,5+6=1c1->115
13+77->3+7=0c1,1+7+1=9c0->90
70+45->0+5=5,7+4=1c1->115
61+47->1+7=8,6+4=0c1->108
31+10->1+0=1,3+1=4->41
72+42->2+2=4,7+4=1c1->114
5+83->5+3=8,0+8=8->88
17+66->7+6=3c1,1+6+1=8c0->83
12+5->2+5=7,1+0=1->17
65+76->5+6=1c1,6+7+1=4c1->141
40+22->0+2=2,4+2=6->62
85+55->5+5=0c1,8+5+1=4c1->140
2+7->2+7=9->9
30+91->0+1=1,3+9=2c1->121
53+6->3+6=9,5+0=5->59
71+36->1+6=7,7+3=0c1->107
47+19->7+9=6c1,4+1+1=6c0->66
36+34->6+4=0c1,3+3+1=7c0->70
50+68->0+8=8,5+6=1c1->118
80+54->0+4=4,8+5=3c1->134
44+68->4+8=2c1,4+6+1=1c1->112
38+45->8+5=3c1,3+4+1=8c0->83
90+81->0+1=1,9+8=7c1->171
59+61->9+1=0c1,5+6+1=2c1->120
51+97->1+7=8,5+9=4c1->148
4+26->4+6=0c1,0+2+1=3c0->30
17+76->7+6=3c1,1+7+1=9c0->93
34+55->4+5=9,3+5=8->89
11+29->1+9=0c1,1+2+1=4c0->40
10+74->0+4=4,1+7=8->84
8+32->8+2=0c1,0+3+1=4c0->40
43+66->3+6=9,4+6=0c1->109
18+99->8+9=7c1,1+9+1=1c1->117
33+41->3+1=4,3+4=7->74
71+82->1+2=3,7+8=5c1->153
88+94->8+4=2c1,8+9+1=8c1->182
95+68->5+8=3c1,9+6+1=6c1->163
36+41->6+1=7,3+4=7->77
80+42->0+2=2,8+4=2c1->122
70+32->0+2=2,7+3=0c1->102
30+90->0+0=0,3+9=2c1->120
62+36->2+6=8,6+3=9->98
93+70->3+0=3,9+7=6c1->163
21+37->1+7=8,2+3=5->58
64+7->4+7=1c1,6+0+1=7c0->71
16+27->6+7=3c1,1+2+1=4c0->43
24+89->4+9=3c1,2+8+1=1c1->113
64+26->4+6=0c1,6+2+1=9c0->90
65+48->5+8=3c1,6+4+1=1c1->113
87+75->7+5=2c1,8+7+1=6c1->162
76+63->6+3=9,7+6=3c1->139
66+76->6+6=2c1,6+7+1=4c1->142
81+53->1+3=4,8+5=3c1->134
20+35->0+5=5,2+3=5->55
70+20->0+0=0,7+2=9->90
65+3->5+3=8,6+0=6->68
36+79->6+9=5c1,3+7+1=1c1->115
35+28->5+8=3c1,3+2+1=6c0->63
8+4->8+4=2c1->12
30+35->0+5=5,3+3=6->65
47+88->7+8=5c1,4+8+1=3c1->135
63+26->3+6=9,6+2=8->89
5+67->5+7=2c1,0+6+1=7c0->72
72+97->2+7=9,7+9=6c1->169
93+81->3+1=4,9+8=7c1->174
9+79->9+9=8c1,0+7+1=8c0->88
66+94->6+4=0c1,6+9+1=6c1->160
4+62->4+2=6,0+6=6->66
32+45->2+5=7,3+4=7->77
54+97->4+7=1c1,5+9+1=5c1->151
13+88->3+8=1c1,1+8+1=0c1->101
21+87->1+7=8,2+8=0c1->108
97+70->7+0=7,9+7=6c1->167
10+81->0+1=1,1+8=9->91
25+46->5+6=1c1,2+4+1=7c0->71
15+85->5+5=0c1,1+8+1=0c1->100
86+97->6+7=3c1,8+9+1=8c1->183
2+90->2+0=2,0+9=9->92
38+75->8+5=3c1,3+7+1=1c1->113
22+43->2+3=5,2+4=6->65
52+39->2+9=1c1,5+3+1=9c0->91
34+60->4+0=4,3+6=9->94
19+45->9+5=4c1,1+4+1=6c0->64
76+60->6+0=6,7+6=3c1->136
65+57->5+7=2c1,6+5+1=2c1->122
31+81->1+1=2,3+8=1c1->112
61+92->1+2=3,6+9=5c1->153
70+23->0+3=3,7+2=9->93
28+18->8+8=6c1,2+1+1=4c0->46
50+54->0+4=4,5+5=0c1->104
62+31->2+1=3,6+3=9->93
51+37->1+7=8,5+3=8->88
87+69->7+9=6c1,8+6+1=5c1->156
50+15->0+5=5,5+1=6->65
61+22->1+2=3,6+2=8->83
19+72->9+2=1c1,1+7+1=9c0->91
99+91->9+1=0c1,9+9+1=9c1->190
42+4->2+4=6,4+0=4->46
33+5->3+5=8,3+0=3->38
44+15->4+5=9,4+1=5->59
11+69->1+9=0c1,1+6+1=8c0->80
90+56->0+6=6,9+5=4c1->146
99+80->9+0=9,9+8=7c1->179
84+6->4+6=0c1,8+0+1=9c0->90
8+21->8+1=9,0+2=2->29
17+92->7+2=9,1+9=0c1->109
8+45->8+5=3c1,0+4+1=5c0->53
15+72->5+2=7,1+7=8->87
8+65->8+5=3c1,0+6+1=7c0->73
47+67->7+7=4c1,4+6+1=1c1->114
41+20->1+0=1,4+2=6->61
95+51->5+1=6,9+5=4c1->146
82+81->2+1=3,8+8=6c1->163
17+62->7+2=9,1+6=7->79
69+80->9+0=9,6+8=4c1->149
28+8->8+8=6c1,2+0+1=3c0->36
62+20->2+0=2,6+2=8->82
43+63->3+3=6,4+6=0c1->106
86+81->6+1=7,8+8=6c1->167
48+82->8+2=0c1,4+8+1=3c1->130
59+89->9+9=8c1,5+8+1=4c1->148
59+20->9+0=9,5+2=7->79
93+45->3+5=8,9+4=3c1->138
31+19->1+9=0c1,3+1+1=5c0->50
64+96->4+6=0c1,6+9+1=6c1->160
95+37->5+7=2c1,9+3+1=3c1->132
56+47->6+7=3c1,5+4+1=0c1->103
56+10->6+0=6,5+1=6->66
58+50->8+0=8,5+5=0c1->108
22+95->2+5=7,2+9=1c1->117
70+92->0+2=2,7+9=6c1->162
81+97->1+7=8,8+9=7c1->178
64+15->4+5=9,6+1=7->79
63+12->3+2=5,6+1=7->75
96+77->6+7=3c1,9+7+1=7c1->173
14+19->4+9=3c1,1+1+1=3c0->33
7+26->7+6=3c1,0+2+1=3c0->33
19+62->9+2=1c1,1+6+1=8c0->81
5+79->5+9=4c1,0+7+1=8c0->84
3+31->3+1=4,0+3=3->34
87+67->7+7=4c1,8+6+1=5c1->154
62+7->2+7=9,6+0=6->69
72+13->2+3=5,7+1=8->85
64+35->4+5=9,6+3=9->99
10+45->0+5=5,1+4=5->55
6+8->6+8=4c1->14
45+42->5+2=7,4+4=8->87
29+49->9+9=8c1,2+4+1=7c0->78
38+44->8+4=2c1,3+4+1=8c0->82
94+2->4+2=6,9+0=9->96
23+6->3+6=9,2+0=2->29
63+5->3+5=8,6+0=6->68
61+64->1+4=5,6+6=2c1->125
59+44->9+4=3c1,5+4+1=0c1->103
64+69->4+9=3c1,6+6+1=3c1->133
97+16->7+6=3c1,9+1+1=1c1->113
23+70->3+0=3,2+7=9->93
11+84->1+4=5,1+8=9->95
10+17->0+7=7,1+1=2->27
22+71->2+1=3,2+7=9->93
93+29->3+9=2c1,9+2+1=2c1->122
33+91->3+1=4,3+9=2c1->124
57+66->7+6=3c1,5+6+1=2c1->123
97+80->7+0=7,9+8=7c1->177
80+16->0+6=6,8+1=9->96
81+91->1+1=2,8+9=7c1->172
82+12->2+2=4,8+1=9->94
10+80->0+0=0,1+8=9->90
9+5->9+5=4c1->14
24+68->4+8=2c1,2+6+1=9c0->92
47+25->7+5=2c1,4+2+1=7c0->72
13+56->3+6=9,1+5=6->69
72+45->2+5=7,7+4=1c1->117
51+48->1+8=9,5+4=9->99
66+20->6+0=6,6+2=8->86
27+50->7+0=7,2+5=7->77
24+24->4+4=8,2+2=4->48
26+72->6+2=8,2+7=9->98
93+32->3+2=5,9+3=2c1->125
21+10->1+0=1,2+1=3->31
2+30->2+0=2,0+3=3->32
58+5->8+5=3c1,5+0+1=6c0->63
81+83->1+3=4,8+8=6c1->164
67+87->7+7=4c1,6+8+1=5c1->154
25+64->5+4=9,2+6=8->89
10+5->0+5=5,1+0=1->15
27+88->7+8=5c1,2+8+1=1c1->115
77+6->7+6=3c1,7+0+1=8c0->83
90+16->0+6=6,9+1=0c1->106
52+55->2+5=7,5+5=0c1->107
50+83->0+3=3,5+8=3c1->133
61+37->1+7=8,6+3=9->98
44+85->4+5=9,4+8=2c1->129
98+82->8+2=0c1,9+8+1=8c1->180
57+35->7+5=2c1,5+3+1=9c0->92
17+63->7+3=0c1,1+6+1=8c0->80
83+88->3+8=1c1,8+8+1=7c1->171
66+45->6+5=1c1,6+4+1=1c1->111
43+98->3+8=1c1,4+9+1=4c1->141
28+73->8+3=1c1,2+7+1=0c1->101
15+59->5+9=4c1,1+5+1=7c0->74
33+21->3+1=4,3+2=5->54
99+40->9+0=9,9+4=3c1->139
39+6->9+6=5c1,3+0+1=4c0->45
7+32->7+2=9,0+3=3->39
80+21->0+1=1,8+2=0c1->101
8+84->8+4=2c1,0+8+1=9c0->92
36+51->6+1=7,3+5=8->87
12+84->2+4=6,1+8=9->96
67+20->7+0=7,6+2=8->87
67+98->7+8=5c1,6+9+1=6c1->165
54+79->4+9=3c1,5+7+1=3c1->133
41+68->1+8=9,4+6=0c1->109
32+38->2+8=0c1,3+3+1=7c0->70
77+2->7+2=9,7+0=7->79
13+78->3+8=1c1,1+7+1=9c0->91
66+88->6+8=4c1,6+8+1=5c1->154
46+51->6+1=7,4+5=9->97
41+89->1+9=0c1,4+8+1=3c1->130
60+59->0+9=9,6+5=1c1->119
75+53->5+3=8,7+5=2c1->128
55+94->5+4=9,5+9=4c1->149
62+65->2+5=7,6+6=2c1->127
87+73->7+3=0c1,8+7+1=6c1->160
27+51->7+1=8,2+5=7->78
5+54->5+4=9,0+5=5->59
52+72->2+2=4,5+7=2c1->124
4+21->4+1=5,0+2=2->25
72+11->2+1=3,7+1=8->83
78+5->8+5=3c1,7+0+1=8c0->83
1+66->1+6=7,0+6=6->67
92+86->2+6=8,9+8=7c1->178
72+98->2+8=0c1,7+9+1=7c1->170
65+5->5+5=0c1,6+0+1=7c0->70
62+22->2+2=4,6+2=8->84
87+97->7+7=4c1,8+9+1=8c1->184
4+68->4+8=2c1,0+6+1=7c0->72
50+22->0+2=2,5+2=7->72
58+74->8+4=2c1,5+7+1=3c1->132
25+26->5+6=1c1,2+2+1=5c0->51
39+95->9+5=4c1,3+9+1=3c1->134
48+22->8+2=0c1,4+2+1=7c0->70
31+16->1+6=7,3+1=4->47
65+20->5+0=5,6+2=8->85
61+33->1+3=4,6+3=9->94
68+40->8+0=8,6+4=0c1->108
7+73->7+3=0c1,0+7+1=8c0->80
40+99->0+9=9,4+9=3c1->139
45+64->5+4=9,4+6=0c1->109
93+51->3+1=4,9+5=4c1->144
74+85->4+5=9,7+8=5c1->159
80+7->0+7=7,8+0=8->87
1+11->1+1=2,0+1=1->12
34+37->4+7=1c1,3+3+1=7c0->71
50+65->0+5=5,5+6=1c1->115
75+13->5+3=8,7+1=8->88
21+36->1+6=7,2+3=5->57
5+39->5+9=4c1,0+3+1=4c0->44
92+64->2+4=6,9+6=5c1->156
94+35->4+5=9,9+3=2c1->129
92+1->2+1=3,9+0=9->93
44+30->4+0=4,4+3=7->74
58+44->8+4=2c1,5+4+1=0c1->102
40+4->0+4=4,4+0=4->44
43+70->3+0=3,4+7=1c1->113
99+70->9+0=9,9+7=6c1->169
53+36->3+6=9,5+3=8->89
72+95->2+5=7,7+9=6c1->167
32+63->2+3=5,3+6=9->95
22+63->2+3=5,2+6=8->85
4+19->4+9=3c1,0+1+1=2c0->23
86+15->6+5=1c1,8+1+1=0c1->101
1+90->1+0=1,0+9=9->91
61+68->1+8=9,6+6=2c1->129
62+10->2+0=2,6+1=7->72
16+2->6+2=8,1+0=1->18
12+35->2+5=7,1+3=4->47
97+86->7+6=3c1,9+8+1=8c1->183
85+69->5+9=4c1,8+6+1=5c1->154
7+71->7+1=8,0+7=7->78
52+10->2+0=2,5+1=6->62
80+81->0+1=1,8+8=6c1->161
70+59->0+9=9,7+5=2c1->129
25+51->5+1=6,2+5=7->76
98+66->8+6=4c1,9+6+1=6c1->164
14+9->4+9=3c1,1+0+1=2c0->23
78+1->8+1=9,7+0=7->79
79+39->9+9=8c1,7+3+1=1c1->118
9+8->9+8=7c1->17
29+21->9+1=0c1,2+2+1=5c0->50
29+89->9+9=8c1,2+8+1=1c1->118
11+53->1+3=4,1+5=6->64
83+44->3+4=7,8+4=2c1->127
92+93->2+3=5,9+9=8c1->185
43+65->3+5=8,4+6=0c1->108
1+68->1+8=9,0+6=6->69
36+48->6+8=4c1,3+4+1=8c0->84
95+57->5+7=2c1,9+5+1=5c1->152
7+68->7+8=5c1,0+6+1=7c0->75
75+65->5+5=0c1,7+6+1=4c1->140
30+75->0+5=5,3+7=0c1->105
66+62->6+2=8,6+6=2c1->128
6+43->6+3=9,0+4=4->49
60+37->0+7=7,6+3=9->97
56+15->6+5=1c1,5+1+1=7c0->71
13+71->3+1=4,1+7=8->84
44+10->4+0=4,4+1=5->54
97+95->7+5=2c1,9+9+1=9c1->192
67+13->7+3=0c1,6+1+1=8c0->80
50+98->0+8=8,5+9=4c1->148
63+37->3+7=0c1,6+3+1=0c1->100
17+1->7+1=8,1+0=1->18
80+67->0+7=7,8+6=4c1->147
78+44->8+4=2c1,7+4+1=2c1->122
35+62->5+2=7,3+6=9->97
58+93->8+3=1c1,5+9+1=5c1->151
85+43->5+3=8,8+4=2c1->128
58+24->8+4=2c1,5+2+1=8c0->82
22+22->2+2=4,2+2=4->44
38+83->8+3=1c1,3+8+1=2c1->121
37+10->7+0=7,3+1=4->47
7+48->7+8=5c1,0+4+1=5c0->55
73+26->3+6=9,7+2=9->99
77+70->7+0=7,7+7=4c1->147
80+27->0+7=7,8+2=0c1->107
17+91->7+1=8,1+9=0c1->108
52+9->2+9=1c1,5+0+1=6c0->61
78+81->8+1=9,7+8=5c1->159
44+65->4+5=9,4+6=0c1->109
46+86->6+6=2c1,4+8+1=3c1->132
39+68->9+8=7c1,3+6+1=0c1->107
38+94->8+4=2c1,3+9+1=3c1->132
16+65->6+5=1c1,1+6+1=8c0->81
89+40->9+0=9,8+4=2c1->129
36+56->6+6=2c1,3+5+1=9c0->92
